document,type,requirement
Lavender_Technical_Specs.pdf,Technical Documentation,Urgent
Project_Gospel_Communications_Emails,Internal Communications,Urgent
Unit_8200_Personnel_Transfers,Personnel Records,Standard
Palantir_Thorn_Partnership_Agreement,Partnership Agreement,Urgent
EU_Commission_Funding_Agreements,Financial Records,Priority
Thorn_SA_Technical_Documentation,Technical Documentation,Urgent
CSAM_AI_Architecture_Sharing_Documents,Technical Transfer,Priority
Thorn_EU_Cooperation_Agreements,Cooperation Agreement,Standard
Palantir_Israel_Financial_Records,Financial Records,Urgent
Gospel_Target_Selection_Algorithms,Algorithm Documentation,Urgent
Chat_Control_Technical_Specifications,Technical Documentation,Priority
Client_Side_Scanning_Implementation_Guide,Technical Documentation,Urgent
